### Top 5 hits for each virus with each method used
### Score 1 / Score 2 columns correpond respectively to:
### For blast hits => Total number of matches in hsps / Average percentage of identity across the full alignment
### For crispr hits => Number of mismatches / Length of CRISPR spacer
### For WIsH => Log-likelihood / P-value
### For VirHostMatcher => s2 similarity/ NA
### For PHP => PHP score/ NA
### For RaFAH => Confidence score / estimated FDR
### For iPHoP-RF => Confidence score / estimated FDR
Virus,Method,Host,Host taxonomy,Metric 1,Score 1,Metric 2,Score 2,Rank,Host representative
NODE_10_length_21507_cov_3.191404,wish,GCF_004367745.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,Log-likelihood,-1.353,p-value,0.0509857,1,RS_GCF_004367745.1
NODE_10_length_21507_cov_3.191404,wish,GCF_003330725.1,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidisarcina;s__Acidisarcina polymorpha,Log-likelihood,-1.371,p-value,0.193905,2,RS_GCF_003330725.1
NODE_10_length_21507_cov_3.191404,wish,3300027376_1,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__,Log-likelihood,-1.372,p-value,0.198878,3,3300027376_1
NODE_10_length_21507_cov_3.191404,wish,GCA_003225295.1,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__UBA7541 sp003225295,Log-likelihood,-1.372,p-value,0.200524,4,GB_GCA_003225295.1
NODE_10_length_21507_cov_3.191404,wish,GCF_000381585.1,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-83;s__KBS-83 sp000381585,Log-likelihood,-1.373,p-value,0.194119,5,RS_GCF_000381585.1
NODE_164_length_6684_cov_2.145572,iPHoP-RF,GB_GCA_011391175.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera_A;s__Methylotenera_A sp011391175,Confidence_score,0.786,FDR,0.318,1,GB_GCA_011391175.1
NODE_164_length_6684_cov_2.145572,iPHoP-RF,RS_GCF_000023705.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera mobilis,Confidence_score,0.784,FDR,0.32,2,RS_GCF_000023705.1
NODE_164_length_6684_cov_2.145572,iPHoP-RF,GB_GCA_903854305.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera sp903854305,Confidence_score,0.782,FDR,0.323,3,GB_GCA_903854305.1
NODE_164_length_6684_cov_2.145572,iPHoP-RF,RS_GCF_000093025.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera versatilis,Confidence_score,0.782,FDR,0.323,3,RS_GCF_000093025.1
NODE_164_length_6684_cov_2.145572,iPHoP-RF,3300024923_4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__,Confidence_score,0.778,FDR,0.327,4,3300024923_4
NODE_164_length_6684_cov_2.145572,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.257,FDR,0.663,1,NA
NODE_164_length_6684_cov_2.145572,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.257,FDR,0.663,1,NA
NODE_164_length_6684_cov_2.145572,rafah,Haemophilus,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus,Confidence_score,0.147,FDR,0.857,2,NA
NODE_164_length_6684_cov_2.145572,rafah,Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Confidence_score,0.145,FDR,0.859,3,NA
NODE_164_length_6684_cov_2.145572,rafah,Escherichia,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,Confidence_score,0.124,FDR,0.884,4,NA
NODE_164_length_6684_cov_2.145572,vhm,GCA_012518175.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C sp012518175,S2star_similarity,0.387,NA,NA,1,GB_GCA_012518175.1
NODE_164_length_6684_cov_2.145572,vhm,GCA_012728315.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C sp012728315,S2star_similarity,0.381,NA,NA,2,GB_GCA_012728315.1
NODE_164_length_6684_cov_2.145572,vhm,GCA_012513235.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C sp012513235,S2star_similarity,0.381,NA,NA,3,GB_GCA_012513235.1
NODE_164_length_6684_cov_2.145572,vhm,GCA_012719655.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C sp012719655,S2star_similarity,0.380,NA,NA,4,GB_GCA_012719655.1
NODE_164_length_6684_cov_2.145572,vhm,GCF_000421765.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C caeni,S2star_similarity,0.378,NA,NA,5,RS_GCF_000421765.1
NODE_164_length_6684_cov_2.145572,wish,GCA_012513235.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C sp012513235,Log-likelihood,-1.354,p-value,1.37589e-05,1,GB_GCA_012513235.1
NODE_164_length_6684_cov_2.145572,wish,GCA_012518175.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C sp012518175,Log-likelihood,-1.355,p-value,1.67059e-06,2,GB_GCA_012518175.1
NODE_164_length_6684_cov_2.145572,wish,GCA_012728315.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C sp012728315,Log-likelihood,-1.356,p-value,0.000119175,3,GB_GCA_012728315.1
NODE_164_length_6684_cov_2.145572,wish,GCF_000414175.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Celerinatantimonadaceae;g__Agarivorans;s__Agarivorans albus,Log-likelihood,-1.356,p-value,0.0282613,4,RS_GCF_000414175.1
NODE_164_length_6684_cov_2.145572,wish,GCA_012719655.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_C;s__Pseudomonas_C sp012719655,Log-likelihood,-1.356,p-value,4.89768e-05,5,GB_GCA_012719655.1
NODE_1_length_48799_cov_5.520556,crispr,GCF_002607855.1,d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfotomaculaceae;g__Desulfotomaculum;s__Desulfotomaculum profundi,N_mismatches,4.000,Spacer_length,34.0,1,RS_GCF_002607855.1
NODE_1_length_48799_cov_5.520556,crispr,2687453482,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinae,N_mismatches,4.000,Spacer_length,27.0,1,RS_GCF_001543175.1
NODE_1_length_48799_cov_5.520556,iPHoP-RF,RS_GCF_002251085.2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia_B;s__Romboutsia_B maritimum,Confidence_score,0.950,FDR,0.111,1,RS_GCF_002251085.2
NODE_1_length_48799_cov_5.520556,iPHoP-RF,RS_GCF_002250835.2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia_A;s__Romboutsia_A weinsteinii,Confidence_score,0.878,FDR,0.215,2,RS_GCF_002250835.2
NODE_1_length_48799_cov_5.520556,iPHoP-RF,RS_GCF_902362365.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp902362365,Confidence_score,0.878,FDR,0.215,2,RS_GCF_902362365.1
NODE_1_length_48799_cov_5.520556,iPHoP-RF,RS_GCF_900129815.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Asaccharospora;s__Asaccharospora irregularis,Confidence_score,0.866,FDR,0.229,3,RS_GCF_900129815.1
NODE_1_length_48799_cov_5.520556,iPHoP-RF,RS_GCF_000499525.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia dakarensis,Confidence_score,0.854,FDR,0.243,4,RS_GCF_000499525.1
NODE_1_length_48799_cov_5.520556,php,GCF_003865095.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AD;s__Clostridium_AD tagluense,Score,1430.402,NA,NA,1,RS_GCF_003865095.1
NODE_1_length_48799_cov_5.520556,php,GCF_001623875.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AM;s__Clostridium_AM magnum,Score,1430.400,NA,NA,2,RS_GCF_001623875.1
NODE_1_length_48799_cov_5.520556,php,GCF_004684055.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__Soehngenia_A;s__Soehngenia_A sp002417735,Score,1429.900,NA,NA,3,RS_GCF_004684055.1
NODE_1_length_48799_cov_5.520556,php,GCF_902363255.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter sp902363255,Score,1429.786,NA,NA,4,RS_GCF_902363255.1
NODE_1_length_48799_cov_5.520556,php,GCF_000686725.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_I;s__Clostridium_I akagii,Score,1429.508,NA,NA,5,RS_GCF_000686725.1
NODE_1_length_48799_cov_5.520556,rafah,Clostridium,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,Confidence_score,0.534,FDR,0.153,1,NA
NODE_1_length_48799_cov_5.520556,rafah,Clostridium,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F,Confidence_score,0.534,FDR,0.153,1,NA
NODE_1_length_48799_cov_5.520556,rafah,Clostridium,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P,Confidence_score,0.534,FDR,0.153,1,NA
NODE_1_length_48799_cov_5.520556,rafah,Bacillus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,Confidence_score,0.091,FDR,0.919,2,NA
NODE_1_length_48799_cov_5.520556,rafah,Bacillus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A,Confidence_score,0.091,FDR,0.919,2,NA
NODE_1_length_48799_cov_5.520556,vhm,GCF_000449425.2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile_E,S2star_similarity,0.439,NA,NA,1,RS_GCF_000449425.2
NODE_1_length_48799_cov_5.520556,vhm,GCA_900553485.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter sp900553485,S2star_similarity,0.435,NA,NA,2,GB_GCA_900553485.1
NODE_1_length_48799_cov_5.520556,vhm,GCF_009695605.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__DSM105185;s__DSM105185 sp009695605,S2star_similarity,0.432,NA,NA,3,RS_GCF_009695605.1
NODE_1_length_48799_cov_5.520556,vhm,GCF_900128955.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__Tissierella;s__Tissierella praeacuta,S2star_similarity,0.432,NA,NA,4,RS_GCF_900128955.1
NODE_1_length_48799_cov_5.520556,vhm,2651869516,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,S2star_similarity,0.432,NA,NA,5,2651869516
NODE_1_length_48799_cov_5.520556,wish,GCF_002266425.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__Tissierella;s__Tissierella sp002266425,Log-likelihood,-1.317,p-value,0.0241765,1,RS_GCF_002266425.1
NODE_1_length_48799_cov_5.520556,wish,GCF_000816675.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J argentinense,Log-likelihood,-1.320,p-value,0.0238016,2,RS_GCF_000816675.1
NODE_1_length_48799_cov_5.520556,wish,GCF_001623875.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AM;s__Clostridium_AM magnum,Log-likelihood,-1.321,p-value,0.0386456,3,RS_GCF_001623875.1
NODE_1_length_48799_cov_5.520556,wish,GCF_902363375.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J sp902363375,Log-likelihood,-1.321,p-value,0.0219232,4,RS_GCF_902363375.1
NODE_1_length_48799_cov_5.520556,wish,GCF_900447045.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium paraputrificum,Log-likelihood,-1.321,p-value,0.0226461,5,RS_GCF_900447045.1
NODE_230_length_5704_cov_5.573199,blast,GCF_009734385.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp009734385,Match_length,2208.000,Id_pcent,99.95,1,RS_GCF_009734385.1
NODE_230_length_5704_cov_5.573199,blast,GCF_900104245.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudidiomarina;s__Pseudidiomarina indica,Match_length,1490.000,Id_pcent,99.8,2,RS_GCF_900104245.1
NODE_230_length_5704_cov_5.573199,blast,3300012259_4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paenalcaligenes;s__Paenalcaligenes suwonensis,Match_length,1489.000,Id_pcent,99.8,3,RS_GCF_011290505.1
NODE_230_length_5704_cov_5.573199,blast,GCF_000739995.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria granuli,Match_length,1485.000,Id_pcent,99.93,4,RS_GCF_000739995.1
NODE_230_length_5704_cov_5.573199,blast,3300011555_2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A nitrititolerans,Match_length,1485.000,Id_pcent,99.93,4,RS_GCF_003696285.1
NODE_230_length_5704_cov_5.573199,iPHoP-RF,RS_GCF_003697165.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,Confidence_score,0.602,FDR,0.554,1,RS_GCF_003697165.2
NODE_230_length_5704_cov_5.573199,iPHoP-RF,RS_GCF_002950215.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri,Confidence_score,0.592,FDR,0.566,2,RS_GCF_002950215.1
NODE_230_length_5704_cov_5.573199,iPHoP-RF,RS_GCF_000026325.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D,Confidence_score,0.566,FDR,0.596,3,RS_GCF_000026325.1
NODE_230_length_5704_cov_5.573199,iPHoP-RF,RS_GCF_002949675.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia dysenteriae,Confidence_score,0.536,FDR,0.63,4,RS_GCF_002949675.1
NODE_230_length_5704_cov_5.573199,iPHoP-RF,RS_GCF_000006945.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica,Confidence_score,0.508,FDR,0.661,5,RS_GCF_000006945.2
NODE_230_length_5704_cov_5.573199,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.269,FDR,0.635,1,NA
NODE_230_length_5704_cov_5.573199,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.269,FDR,0.635,1,NA
NODE_230_length_5704_cov_5.573199,rafah,Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Confidence_score,0.154,FDR,0.848,2,NA
NODE_230_length_5704_cov_5.573199,rafah,Haemophilus,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus,Confidence_score,0.135,FDR,0.871,3,NA
NODE_230_length_5704_cov_5.573199,rafah,Escherichia,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,Confidence_score,0.114,FDR,0.895,4,NA
NODE_230_length_5704_cov_5.573199,vhm,3300021416_10,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__;s__,S2star_similarity,0.341,NA,NA,1,3300021416_10
NODE_230_length_5704_cov_5.573199,vhm,GCF_001939735.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium proteolyticum,S2star_similarity,0.336,NA,NA,2,RS_GCF_001939735.1
NODE_230_length_5704_cov_5.573199,vhm,GCF_009910675.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium alginatilyticum,S2star_similarity,0.335,NA,NA,3,RS_GCF_009910675.1
NODE_230_length_5704_cov_5.573199,vhm,GCF_000948975.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Thalassomonas;s__Thalassomonas actiniarum,S2star_similarity,0.332,NA,NA,4,RS_GCF_000948975.1
NODE_230_length_5704_cov_5.573199,vhm,3300000131_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__;g__;s__,S2star_similarity,0.331,NA,NA,5,3300000131_1
NODE_230_length_5704_cov_5.573199,wish,GCF_007981265.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Erwinia;s__Erwinia sp007981265,Log-likelihood,-1.361,p-value,0.0060864,1,RS_GCF_007981265.1
